Date,Close,Open,High,Low,Volume,Change
2018-01-02,41.02,40.51,41.05,40.42,4980000.0,0.0346
2018-01-03,41.71,41.59,41.81,41.44,6960000.0,0.0168
2018-01-04,41.49,41.92,41.99,41.45,4880000.0,-0.0053
2018-01-05,42.46,41.89,42.57,41.79,5330000.0,0.023399999999999997
2018-01-08,42.44,42.4,42.48,42.19,3540000.0,-0.0005
2018-01-09,42.18,42.49,42.5,42.13,5730000.0,-0.0060999999999999995
2018-01-10,41.3,41.35,41.45,40.72,7100000.0,-0.0209
2018-01-11,41.03,41.22,41.4,40.95,5700000.0,-0.006500000000000001
2018-01-12,41.19,41.04,41.3,40.76,5030000.0,0.0039000000000000003
2018-01-16,42.23,42.01,42.34,41.81,9080000.0,0.0252
2018-01-17,43.13,42.66,43.27,42.5,7120000.0,0.0213
2018-01-18,44.57,43.86,44.85,43.5,11870000.0,0.0334
2018-01-19,44.67,45.07,45.54,44.58,6540000.0,0.0022
2018-01-22,46.38,46.0,46.4,45.94,8340000.0,0.0383
2018-01-23,46.28,46.48,46.57,46.06,5660000.0,-0.0022
2018-01-24,45.33,45.64,45.67,45.25,7400000.0,-0.020499999999999997
2018-01-25,45.1,45.71,45.78,45.04,7660000.0,-0.0051
2018-01-26,45.72,45.5,45.74,45.03,7060000.0,0.0137
2018-01-29,45.4,45.47,45.69,45.2,11600000.0,-0.006999999999999999
2018-01-30,44.88,44.57,45.03,44.4,10220000.0,-0.0115
2018-01-31,45.31,45.43,45.8,45.12,6330000.0,0.0096
2018-02-01,45.45,45.33,45.93,45.3,6710000.0,0.0031
2018-02-02,44.51,45.01,45.32,44.45,12050000.0,-0.0207
2018-02-05,42.95,44.05,44.81,42.81,11750000.0,-0.035
2018-02-06,43.59,42.27,43.7,42.1,13410000.0,0.0149
2018-02-07,41.88,42.99,42.99,41.88,15240000.0,-0.0392
2018-02-08,40.36,42.11,42.12,40.36,11360000.0,-0.0363
2018-02-09,41.47,40.74,41.67,39.96,10590000.0,0.0275
2018-02-12,42.53,42.03,42.79,41.96,6570000.0,0.0256
2018-02-13,42.38,42.54,42.66,41.88,5830000.0,-0.0034999999999999996
2018-02-14,43.05,42.17,43.09,41.92,6860000.0,0.0158
2018-02-15,43.52,43.52,43.75,42.75,6120000.0,0.0109
2018-02-16,43.48,43.35,43.96,43.31,4790000.0,-0.0009
2018-02-20,43.74,43.08,44.16,43.0,9290000.0,0.006
2018-02-21,42.89,43.66,43.82,42.87,6610000.0,-0.0194
2018-02-22,42.39,42.67,42.74,42.18,7980000.0,-0.011699999999999999
2018-02-23,43.9,43.39,43.9,43.11,7200000.0,0.0356
2018-02-26,44.41,44.11,44.41,43.8,3900000.0,0.0116
2018-02-27,43.62,44.05,44.3,43.6,6000000.0,-0.0178
2018-02-28,43.35,43.67,43.91,43.29,6400000.0,-0.0062
2018-03-01,42.72,43.35,43.56,42.31,7790000.0,-0.014499999999999999
2018-03-02,43.01,42.39,43.05,42.15,4820000.0,0.0068000000000000005
2018-03-05,43.49,43.05,43.76,42.87,5980000.0,0.011200000000000002
2018-03-06,43.54,44.34,44.4,43.43,8630000.0,0.0011
2018-03-07,44.2,43.31,44.28,43.18,4480000.0,0.0152
2018-03-08,43.8,44.3,44.39,43.59,7090000.0,-0.009000000000000001
2018-03-09,44.59,44.05,44.6,43.52,8340000.0,0.018000000000000002
2018-03-12,45.22,44.79,45.34,44.75,5180000.0,0.0141
2018-03-13,44.99,45.5,45.75,44.91,5840000.0,-0.0051
2018-03-14,45.15,45.43,45.45,44.83,4300000.0,0.0036
2018-03-15,45.31,45.1,45.65,44.89,3940000.0,0.0034999999999999996
2018-03-16,44.97,45.0,45.52,44.93,8130000.000000001,-0.0075
2018-03-19,44.6,44.72,44.87,44.19,5120000.0,-0.008199999999999999
2018-03-20,44.83,44.7,44.91,44.52,6400000.0,0.0052
2018-03-21,44.7,44.57,44.84,44.25,7040000.0,-0.0029
2018-03-22,43.69,44.1,44.37,43.69,6320000.0,-0.0226
2018-03-23,42.58,43.63,43.73,42.58,5920000.0,-0.0254
2018-03-26,44.27,43.81,44.28,43.18,5400000.0,0.0397
2018-03-27,43.29,44.72,44.84,43.12,6990000.0,-0.022099999999999998
2018-03-28,42.69,42.98,43.17,42.44,8560000.0,-0.0139
2018-03-29,43.76,43.0,43.92,42.96,7760000.0,0.025099999999999997
2018-04-02,42.5,43.34,43.59,42.42,6360000.0,-0.0288
2018-04-03,43.48,44.27,44.28,43.03,6170000.0,0.0231
2018-04-04,43.94,42.37,43.94,42.35,5500000.0,0.0106
2018-04-05,43.32,44.03,44.23,43.13,6120000.0,-0.0141
2018-04-06,42.42,42.88,43.17,42.26,5130000.0,-0.0208
2018-04-09,43.07,43.09,44.04,42.91,6700000.0,0.015300000000000001
2018-04-10,43.58,43.87,44.22,43.02,5790000.0,0.0118
2018-04-11,43.38,43.25,43.79,43.25,4790000.0,-0.0046
2018-04-12,43.85,43.33,43.85,43.05,7570000.0,0.0108
2018-04-13,42.65,43.69,43.74,42.56,5750000.0,-0.0274
