Date,Close,Open,High,Low,Volume
2010-01-04,22.44,22.29,22.57,22.23,2370000.0
2010-01-05,22.22,22.35,22.45,22.07,2009999.9999999998
2010-01-06,22.06,22.22,22.28,21.91,2620000.0
2010-01-07,22.28,22.07,22.6,21.94,3170000.0
2010-01-08,22.67,22.18,22.71,22.08,2460000.0
2010-01-11,23.22,22.83,23.44,22.75,3390000.0
2010-01-12,22.73,22.98,23.05,22.56,2500000.0
2010-01-13,22.71,22.77,22.82,22.55,2320000.0
2010-01-14,22.9,22.66,22.93,22.61,1560000.0
2010-01-15,22.95,22.92,23.07,22.74,2690000.0
2010-01-19,23.21,22.9,23.42,22.85,4930000.0
2010-01-20,23.06,23.04,23.08,22.57,4010000.0
2010-01-21,22.7,23.15,23.18,22.64,4220000.0
2010-01-22,21.82,22.65,22.77,21.81,3250000.0
2010-01-25,21.68,22.0,22.16,21.67,3010000.0
2010-01-26,21.52,21.6,21.73,21.16,3820000.0
2010-01-27,20.98,21.35,21.36,20.55,5860000.0
2010-01-28,20.61,21.0,21.05,20.28,3640000.0
2010-01-29,20.1,20.68,20.82,20.09,4099999.9999999995
2010-02-01,20.45,20.47,20.65,20.2,4570000.0
2010-02-02,21.35,20.62,21.54,20.52,5110000.0
2010-02-03,21.39,21.2,21.58,21.13,2140000.0
2010-02-04,20.47,21.22,21.22,20.44,2970000.0
2010-02-05,20.38,20.42,20.49,19.76,5240000.0
2010-02-08,20.36,20.32,20.74,20.0,2250000.0
2010-02-09,20.78,21.06,21.61,20.72,4430000.0
2010-02-10,20.67,20.77,21.04,20.55,3750000.0
2010-02-11,21.04,20.67,21.09,20.48,4160000.0
2010-02-12,19.35,19.18,19.59,18.65,17390000.0
2010-02-16,19.74,19.47,19.81,19.31,3770000.0
2010-02-17,20.14,19.78,20.31,19.61,4250000.0
2010-02-18,20.58,20.12,20.68,20.0,3460000.0
2010-02-19,20.65,20.49,20.79,20.37,2510000.0
2010-02-22,20.6,20.7,20.8,20.56,2800000.0
