Date,Close,Open,High,Low,Volume
2010-01-04,19.04,18.93,19.18,18.66,3630000.0
2010-01-05,18.68,18.97,19.35,18.46,12120000.0
2010-01-06,19.33,18.71,19.42,18.71,5600000.0
2010-01-07,20.19,19.32,20.25,19.25,5200000.0
2010-01-08,20.38,20.1,20.42,19.97,4099999.9999999995
2010-01-11,21.47,20.51,21.61,20.36,7210000.0
2010-01-12,21.33,21.25,21.56,20.91,4850000.0
2010-01-13,20.92,21.36,21.49,20.68,5380000.0
2010-01-14,22.79,20.96,23.06,20.58,17620000.0
2010-01-15,21.88,22.75,22.75,21.74,9140000.0
2010-01-19,22.98,22.09,23.46,21.79,8279999.999999999
2010-01-20,22.31,22.7,22.7,21.91,4540000.0
2010-01-21,21.43,22.31,22.43,21.37,4670000.0
2010-01-22,21.32,21.35,22.08,20.8,5580000.0
2010-01-25,21.13,21.64,21.84,20.84,6110000.0
2010-01-26,20.57,21.07,21.09,20.37,3770000.0
2010-01-27,21.0,20.47,21.15,20.36,5870000.0
2010-01-28,19.58,20.38,20.73,18.89,18920000.0
2010-01-29,19.53,19.66,19.96,19.05,6790000.0
2010-02-01,20.64,19.62,20.69,19.53,6520000.0
2010-02-02,20.68,20.78,21.26,20.45,7150000.0
2010-02-03,20.46,20.54,20.79,20.21,4610000.0
2010-02-04,19.56,20.21,20.21,19.4,6590000.0
2010-02-05,18.91,19.51,19.6,17.96,11040000.0
2010-02-08,18.71,18.84,19.24,18.36,4950000.0
2010-02-09,18.9,19.09,19.27,18.68,3820000.0
2010-02-10,18.88,18.86,19.03,18.29,6770000.0
2010-02-11,18.96,18.88,19.13,18.46,4800000.0
2010-02-12,18.32,18.61,18.67,18.0,6120000.0
2010-02-16,19.08,18.49,19.15,18.32,3330000.0
2010-02-17,19.06,19.15,19.28,18.91,2860000.0
2010-02-18,19.75,19.06,19.8,18.96,4510000.0
2010-02-19,19.68,19.58,19.94,19.4,3680000.0
2010-02-22,19.88,19.75,20.08,19.56,3570000.0
2010-02-23,19.53,19.85,20.17,19.37,3460000.0
2010-02-24,19.59,19.7,19.74,19.04,5310000.0
2010-02-25,19.45,19.15,19.5,18.97,4470000.0
2010-02-26,19.92,19.45,20.03,19.25,3760000.0
2010-03-01,20.21,20.0,20.31,19.82,4400000.0
2010-03-02,20.9,20.34,20.99,20.05,4950000.0
2010-03-03,21.24,20.92,21.45,20.76,4630000.0
2010-03-04,21.06,21.36,21.57,20.93,5050000.0
2010-03-05,21.81,21.2,21.84,21.2,4570000.0
2010-03-08,21.74,21.78,22.17,21.73,4330000.0
2010-03-09,21.62,21.13,21.96,21.01,7800000.0
2010-03-10,21.81,21.17,22.07,21.17,4720000.0
2010-03-11,22.25,21.68,22.34,21.3,3910000.0
2010-03-12,22.26,22.37,22.44,21.92,3370000.0
2010-03-15,22.05,22.17,22.2,21.61,3050000.0
2010-03-16,22.4,22.06,22.78,21.94,4390000.0
2010-03-17,22.53,22.52,22.78,22.23,3060000.0
2010-03-18,22.15,22.41,22.5,22.0,2700000.0
2010-03-19,22.21,22.21,22.97,22.07,5670000.0
2010-03-22,22.18,21.99,22.4,21.8,3060000.0
2010-03-23,22.45,22.28,22.47,22.07,3110000.0
2010-03-24,22.28,22.28,22.58,22.15,2470000.0
2010-03-25,21.77,22.53,22.56,21.73,4970000.0
2010-03-26,21.68,21.9,22.3,21.62,3870000.0
2010-03-29,21.7,21.84,21.95,21.49,4059999.9999999995
2010-03-30,21.56,21.76,22.0,21.41,3240000.0
2010-03-31,21.23,21.48,21.59,21.18,3690000.0
2010-04-01,21.4,21.42,21.57,21.17,3660000.0
2010-04-05,21.33,21.54,21.61,21.16,4920000.0
2010-04-06,21.57,21.23,21.82,21.12,3760000.0
2010-04-07,22.18,21.45,22.27,21.25,9650000.0
2010-04-08,22.17,22.11,22.25,21.91,3870000.0
2010-04-09,22.09,22.23,22.3,21.67,3120000.0
2010-04-12,22.59,22.1,22.66,22.06,3860000.0
2010-04-13,22.55,22.49,22.66,22.37,3280000.0
2010-04-14,22.76,22.64,22.78,22.24,4380000.0
2010-04-15,22.33,22.48,22.71,22.27,4810000.0
2010-04-16,21.94,22.42,22.43,21.61,5610000.0
2010-04-19,21.56,21.75,21.89,21.09,4019999.9999999995
2010-04-20,21.87,21.67,22.0,21.5,3070000.0
2010-04-21,21.6,21.66,22.17,21.58,5670000.0
2010-04-22,24.23,22.18,24.36,21.99,16420000.000000002
2010-04-23,23.85,24.31,24.33,23.48,6920000.0
2010-04-26,24.55,23.94,25.3,23.92,7800000.0
2010-04-27,23.25,24.45,24.45,23.12,7470000.0
2010-04-28,23.61,23.41,23.96,23.22,4560000.0
2010-04-29,23.52,23.91,24.2,23.44,3290000.0
2010-04-30,22.84,23.5,23.72,22.84,3650000.0
2010-05-03,23.49,23.0,23.55,22.94,4450000.0
2010-05-04,22.93,23.01,23.45,22.7,6000000.0
2010-05-05,23.27,22.59,23.36,22.11,6890000.0
2010-05-06,22.5,23.14,23.79,20.0,7780000.0
2010-05-07,20.38,22.49,22.49,20.22,15770000.0
