Date,Close,Open,High,Low,Volume
2010-01-04,52.73,53.41,53.41,52.17,1130000.0
2010-01-05,52.93,52.85,52.93,52.0,830220.0
2010-01-06,53.85,52.99,54.36,52.99,1080000.0
2010-01-07,53.17,54.04,54.04,52.69,1130000.0
2010-01-08,52.65,53.11,53.35,52.29,701950.0
2010-01-11,52.18,53.09,53.12,51.7,973530.0
2010-01-12,52.08,51.71,52.42,51.59,894790.0
2010-01-13,52.79,52.17,52.81,51.61,680070.0
2010-01-14,52.65,52.67,52.87,52.07,482530.0
2010-01-15,51.16,52.67,52.81,51.0,1120000.0
2010-01-19,51.78,51.15,51.89,50.69,718430.0
2010-01-20,50.96,51.25,51.26,50.49,724390.0
2010-01-21,48.44,50.96,50.96,48.41,1480000.0
2010-01-22,47.06,48.02,48.71,46.96,1640000.0
2010-01-25,46.77,47.62,47.7,46.25,1590000.0
2010-01-26,46.94,46.5,47.53,46.08,1020000.0
2010-01-27,46.22,46.59,46.59,45.15,1510000.0
2010-01-28,45.17,46.45,46.45,44.7,995610.0
2010-01-29,44.19,45.39,45.88,44.03,1650000.0
2010-02-01,44.95,44.54,44.95,44.11,858640.0
2010-02-02,45.84,45.27,46.04,44.9,931150.0
2010-02-03,45.12,45.76,46.05,44.84,812360.0
2010-02-04,43.3,44.58,44.89,42.98,1980000.0
2010-02-05,43.66,43.29,43.81,42.59,1580000.0
2010-02-08,43.5,43.74,44.28,43.25,1540000.0
2010-02-09,42.63,42.98,43.3,41.8,3840000.0
2010-02-10,42.83,43.69,43.71,41.9,2000000.0
2010-02-11,43.05,42.8,43.07,42.16,1220000.0
2010-02-12,42.94,42.29,42.99,41.99,1460000.0
2010-02-16,44.48,43.21,44.62,43.02,1310000.0
2010-02-17,44.35,44.64,45.0,43.97,1010000.0
2010-02-18,44.45,44.17,44.6,43.93,621100.0
2010-02-19,45.5,44.22,45.61,44.04,1370000.0
2010-02-22,45.82,45.71,46.42,45.38,1220000.0
2010-02-23,45.18,45.9,46.06,44.81,1340000.0
2010-02-24,44.88,45.12,45.21,44.32,697520.0
2010-02-25,44.55,44.36,44.59,43.72,757350.0
2010-02-26,43.41,44.57,44.68,43.2,1620000.0
2010-03-01,43.01,43.59,43.59,42.52,1570000.0
2010-03-02,42.68,43.2,43.54,42.63,1300000.0
2010-03-03,43.89,42.85,44.04,42.74,1240000.0
2010-03-04,43.77,43.88,44.35,43.34,1290000.0
2010-03-05,45.09,44.21,45.14,44.15,867240.0
2010-03-08,45.95,45.12,46.01,44.89,984030.0
2010-03-09,45.69,45.81,46.12,45.19,1400000.0
2010-03-10,45.41,45.75,46.06,45.25,948870.0
2010-03-11,45.64,45.05,45.65,44.72,685630.0
2010-03-12,45.26,45.93,46.0,45.07,935140.0
2010-03-15,45.48,45.21,45.59,44.9,835800.0
2010-03-16,46.49,45.69,46.62,45.3,2480000.0
2010-03-17,49.65,46.84,50.4,46.75,4240000.0
2010-03-18,48.39,49.65,49.65,47.55,1940000.0
2010-03-19,48.57,48.41,48.85,47.85,1770000.0
2010-03-22,49.55,48.01,50.3,47.94,2110000.0
2010-03-23,50.18,49.7,50.28,49.13,1490000.0
2010-03-24,49.73,49.9,50.73,49.68,1450000.0
2010-03-25,48.26,50.13,50.41,48.14,2450000.0
2010-03-26,47.78,48.36,48.8,47.13,1450000.0
2010-03-29,48.22,47.97,48.43,47.87,819500.0
2010-03-30,47.68,48.3,48.58,47.28,866070.0
2010-03-31,47.24,47.61,47.94,47.05,722950.0
2010-04-01,49.09,47.46,49.27,47.46,1510000.0
2010-04-05,49.42,49.12,49.95,48.91,843550.0
2010-04-06,48.87,49.1,49.46,48.5,1070000.0
2010-04-07,47.93,48.65,48.94,47.62,1320000.0
2010-04-08,48.08,47.89,48.32,47.2,941220.0
2010-04-09,48.42,48.11,48.85,47.76,879010.0
2010-04-12,49.28,48.29,49.4,48.25,1140000.0
2010-04-13,49.77,49.33,50.05,49.31,1410000.0
2010-04-14,51.45,49.94,51.57,49.81,1920000.0
2010-04-15,53.28,51.28,54.12,50.98,2850000.0
