Date,Close,Open,High,Low,Volume
2010-01-04,24.74,24.56,24.87,24.29,2650000.0
2010-01-05,25.0,24.79,25.14,24.5,4630000.0
2010-01-06,24.73,24.9,25.07,24.65,3000000.0
2010-01-07,24.39,24.7,24.74,24.28,5670000.0
2010-01-08,24.58,24.33,24.69,24.31,2350000.0
2010-01-11,24.51,24.61,24.74,24.03,3440000.0
2010-01-12,24.18,24.32,24.49,23.9,2480000.0
2010-01-13,24.4,24.34,24.47,23.94,2560000.0
2010-01-14,24.33,24.61,24.61,24.16,1860000.0
2010-01-15,23.98,24.47,24.47,23.66,5210000.0
2010-01-19,24.3,23.95,24.42,23.87,2910000.0
2010-01-20,24.01,24.05,24.14,23.79,4290000.0
2010-01-21,24.03,24.01,24.36,23.69,3780000.0
2010-01-22,23.34,23.94,24.14,23.21,4470000.0
2010-01-25,23.4,23.46,23.56,23.03,2490000.0
2010-01-26,23.52,23.21,23.72,23.08,3490000.0
2010-01-27,23.61,23.4,23.63,23.25,2530000.0
2010-01-28,23.08,23.39,23.65,22.73,3630000.0
2010-01-29,22.91,23.02,23.55,22.7,4370000.0
2010-02-01,23.19,22.9,23.19,22.75,2980000.0
2010-02-02,23.42,23.13,23.48,22.9,5030000.0
2010-02-03,23.3,21.38,23.58,21.21,19270000.0
2010-02-04,23.04,22.9,23.57,22.84,6970000.0
2010-02-05,23.24,23.0,23.32,22.84,6290000.0
2010-02-08,22.98,23.06,23.33,22.97,2720000.0
2010-02-09,23.0,23.3,23.32,22.86,4310000.0
2010-02-10,22.87,23.03,23.1,22.76,3110000.0
2010-02-11,23.35,22.95,23.5,22.94,2870000.0
2010-02-12,23.29,23.19,23.37,23.03,2600000.0
2010-02-16,23.61,23.37,23.78,23.34,2700000.0
2010-02-17,24.12,23.79,24.17,23.6,3120000.0
2010-02-18,23.98,24.13,24.23,23.77,2780000.0
2010-02-19,24.12,23.88,24.31,23.87,2230000.0
2010-02-22,24.32,24.17,24.5,23.89,3250000.0
2010-02-23,24.38,24.33,24.5,24.24,3000000.0
2010-02-24,24.65,24.44,24.8,24.22,4340000.0
2010-02-25,24.86,24.37,24.93,24.22,4410000.0
2010-02-26,24.92,24.92,25.18,24.79,5170000.0
2010-03-01,25.44,24.97,25.59,24.86,5000000.0
2010-03-02,25.26,25.44,25.55,25.11,3470000.0
2010-03-03,25.35,25.23,25.54,25.2,4330000.0
2010-03-04,26.25,25.57,26.46,25.57,7930000.0
2010-03-05,26.5,26.31,26.64,26.28,3890000.0
2010-03-08,26.55,26.43,26.67,26.39,3250000.0
2010-03-09,26.51,26.44,26.77,26.39,3960000.0
2010-03-10,26.9,26.65,27.07,26.55,4210000.0
2010-03-11,26.73,26.79,26.82,26.45,3500000.0
2010-03-12,26.64,26.73,26.78,26.42,5060000.0
2010-03-15,26.86,26.7,26.98,26.46,4080000.0
2010-03-16,26.75,26.94,26.97,26.61,2620000.0
2010-03-17,26.72,26.72,26.83,26.64,1790000.0
2010-03-18,26.97,26.72,27.05,26.67,1970000.0
2010-03-19,26.8,27.18,27.18,26.47,4550000.0
2010-03-22,26.53,26.15,26.57,26.1,3560000.0
2010-03-23,26.42,26.53,26.59,26.24,2570000.0
2010-03-24,26.37,26.32,26.51,26.28,1950000.0
2010-03-25,26.08,26.52,26.68,26.08,3460000.0
2010-03-26,25.94,26.29,26.3,25.84,3140000.0
2010-03-29,25.79,25.76,25.97,25.71,3690000.0
2010-03-30,25.95,25.88,26.07,25.79,2700000.0
2010-03-31,26.02,25.92,26.18,25.77,2250000.0
2010-04-01,26.36,26.07,26.37,26.03,3260000.0
2010-04-05,26.81,26.44,27.08,26.44,3670000.0
2010-04-06,26.92,26.66,27.04,26.61,1840000.0
2010-04-07,26.54,26.92,26.99,26.47,2970000.0
2010-04-08,26.6,26.39,26.66,26.22,2240000.0
2010-04-09,26.84,26.61,26.85,26.48,2650000.0
2010-04-12,26.68,26.92,27.0,26.6,2610000.0
2010-04-13,26.52,26.55,26.64,26.25,2320000.0
2010-04-14,26.8,26.49,26.88,26.45,2590000.0
2010-04-15,26.85,26.71,27.0,26.6,3410000.0
2010-04-16,26.6,26.76,26.95,26.54,3290000.0
2010-04-19,26.84,26.67,26.92,26.43,2950000.0
2010-04-20,27.08,26.89,27.15,26.82,2130000.0
2010-04-21,27.39,27.19,27.43,27.04,3190000.0
2010-04-22,27.42,27.19,27.52,26.86,2470000.0
2010-04-23,27.43,27.48,27.49,27.07,2089999.9999999998
2010-04-26,27.39,27.39,27.49,27.19,1650000.0
2010-04-27,27.11,27.4,27.69,27.06,2310000.0
2010-04-28,26.88,27.27,27.36,26.62,3580000.0
2010-04-29,27.51,26.63,28.0,26.58,6060000.0
2010-04-30,27.28,27.64,27.69,27.25,2750000.0
2010-05-03,27.71,27.3,27.85,27.12,2220000.0
2010-05-04,26.78,27.38,27.39,26.63,3180000.0
2010-05-05,26.76,26.75,27.1,26.52,2640000.0
2010-05-06,26.35,26.67,26.85,24.59,8410000.0
2010-05-07,24.95,26.18,26.39,24.72,7760000.0
2010-05-10,26.45,25.92,26.54,25.92,3750000.0
2010-05-11,26.52,26.21,27.0,26.02,2720000.0
2010-05-12,27.35,26.48,27.37,26.4,3760000.0
2010-05-13,27.13,27.04,27.69,26.58,2140000.0
2010-05-14,26.71,26.99,27.06,26.37,2180000.0
2010-05-17,26.84,26.82,27.16,26.42,2540000.0
2010-05-18,28.23,26.94,28.95,26.94,17460000.0
2010-05-19,27.99,27.82,29.23,27.68,11740000.0
2010-05-20,27.56,27.51,28.12,27.14,10780000.0
2010-05-21,27.35,27.08,27.75,26.93,9730000.0
2010-05-24,27.1,27.27,27.39,26.98,5800000.0
2010-05-25,26.32,26.33,26.4,25.88,7140000.0
2010-05-26,26.83,26.42,27.16,25.99,10710000.0
2010-05-27,27.8,27.18,27.83,27.08,5860000.0
2010-05-28,27.91,27.88,28.16,27.65,4040000.0
2010-06-01,27.21,27.75,28.0,27.18,4650000.0
2010-06-02,27.88,27.24,27.96,27.17,4980000.0
2010-06-03,28.89,27.87,29.48,27.75,8730000.0
2010-06-04,28.29,28.52,29.15,28.15,6330000.0
2010-06-07,27.66,28.42,28.64,27.55,6910000.0
2010-06-08,27.55,27.78,27.98,27.19,5890000.0
2010-06-09,27.96,27.75,28.74,27.74,5830000.0
2010-06-10,28.49,28.35,28.61,27.97,4640000.0
2010-06-11,28.74,28.31,28.77,28.31,2450000.0
2010-06-14,28.66,28.87,29.08,28.58,3240000.0
2010-06-15,29.25,28.95,29.3,28.84,4280000.0
2010-06-16,29.49,29.04,29.71,29.04,3620000.0
2010-06-17,29.52,29.44,29.54,29.19,3430000.0
2010-06-18,29.39,29.59,29.75,29.34,4780000.0
2010-06-21,29.02,29.62,29.79,28.91,3220000.0
2010-06-22,28.26,28.82,29.37,28.16,8900000.0
2010-06-23,28.46,28.26,28.78,28.26,5370000.0
2010-06-24,27.92,28.29,28.57,27.7,4170000.0
2010-06-25,27.73,27.88,28.0,27.65,4880000.0
2010-06-28,27.87,27.9,28.07,27.59,5000000.0
2010-06-29,26.7,27.56,27.65,26.47,5640000.0
2010-06-30,26.55,26.6,27.02,26.48,4310000.0
2010-07-01,26.29,26.53,26.8,25.93,4560000.0
2010-07-02,26.1,26.44,26.53,25.96,2150000.0
2010-07-06,25.94,26.44,26.51,25.73,3310000.0
2010-07-07,27.36,26.64,27.42,26.49,6560000.0
2010-07-08,27.99,27.5,28.42,27.38,7640000.0
2010-07-09,27.25,27.56,28.19,26.96,9310000.0
2010-07-12,27.29,27.11,27.5,27.0,4740000.0
2010-07-13,28.49,27.66,28.61,27.64,6880000.0
2010-07-14,28.92,28.34,28.94,28.26,5880000.0
2010-07-15,28.73,28.88,28.92,28.39,2670000.0
2010-07-16,27.9,28.74,28.74,27.82,2880000.0
2010-07-19,28.26,27.91,28.35,27.84,2210000.0
2010-07-20,28.46,27.83,28.53,27.66,2000000.0
2010-07-21,28.08,28.53,28.58,28.01,2500000.0
2010-07-22,28.59,28.34,28.67,28.27,5260000.0
2010-07-23,28.8,28.47,28.85,28.38,3180000.0
2010-07-26,28.95,28.91,29.11,28.59,2910000.0
2010-07-27,28.85,29.0,29.12,28.73,2240000.0
2010-07-28,28.43,28.76,28.98,28.26,3950000.0
2010-07-29,28.45,28.59,28.73,28.06,4750000.0
2010-07-30,28.15,28.2,28.59,28.09,4080000.0
2010-08-02,28.0,28.19,28.33,27.8,4570000.0
2010-08-03,29.22,28.32,29.42,28.11,8800000.0
2010-08-04,29.67,29.25,29.75,28.75,5730000.0
2010-08-05,29.51,29.41,29.73,29.13,4710000.0
2010-08-06,29.5,29.15,29.78,28.97,5090000.0
2010-08-09,29.63,29.45,29.74,29.27,4300000.0
2010-08-10,29.79,29.4,30.25,29.08,8260000.0
2010-08-11,28.78,29.15,29.39,28.59,7110000.0
2010-08-12,28.71,28.36,28.91,28.35,3630000.0
2010-08-13,28.53,28.53,29.79,28.4,3500000.0
2010-08-16,29.01,28.49,29.22,28.4,5450000.0
2010-08-17,29.24,29.19,29.46,29.07,3420000.0
2010-08-18,29.19,29.07,29.44,28.88,3420000.0
2010-08-19,29.35,29.01,29.7,28.99,8220000.000000001
2010-08-20,29.37,29.32,29.41,28.99,2770000.0
2010-08-23,29.1,29.41,29.67,29.0,2800000.0
2010-08-24,28.48,28.91,28.93,28.24,4940000.0
2010-08-25,28.83,28.22,29.01,28.15,7220000.0
2010-08-26,29.02,28.99,29.32,28.88,5360000.0
2010-08-27,29.54,29.13,29.58,28.83,3520000.0
2010-08-30,29.05,29.44,29.52,28.97,3320000.0
2010-08-31,29.09,28.84,29.22,28.53,4590000.0
2010-09-01,29.58,29.42,30.0,29.3,4290000.0
2010-09-02,29.74,29.75,29.89,29.51,2340000.0
2010-09-03,30.1,30.0,30.33,29.79,2860000.0
2010-09-07,29.76,29.97,30.21,29.7,1800000.0
2010-09-08,30.49,29.91,30.55,29.87,2890000.0
2010-09-09,30.65,30.68,30.88,30.53,1920000.0
2010-09-10,30.87,30.81,31.02,30.67,2600000.0
2010-09-13,31.57,31.0,31.57,30.81,3690000.0
2010-09-14,31.29,31.5,31.6,31.27,2650000.0
2010-09-15,31.37,31.25,31.49,31.08,1810000.0
2010-09-16,31.37,31.33,31.56,31.28,1760000.0
2010-09-17,31.45,31.46,31.5,31.02,4380000.0
2010-09-20,32.1,31.46,32.17,31.4,2310000.0
2010-09-21,31.85,32.15,32.17,31.68,3420000.0
2010-09-22,31.89,31.83,32.09,31.45,3450000.0
2010-09-23,31.43,31.67,32.02,31.36,2780000.0
2010-09-24,31.63,31.9,31.98,31.59,3360000.0
2010-09-27,31.57,31.52,31.75,31.48,2130000.0
2010-09-28,31.48,31.74,31.78,31.19,3450000.0
2010-09-29,31.61,31.35,31.68,31.27,2089999.9999999998
2010-09-30,31.74,31.73,31.99,31.29,2770000.0
2010-10-01,31.71,31.9,31.96,31.48,2490000.0
2010-10-04,31.78,31.6,31.95,31.59,2980000.0
2010-10-05,32.57,32.08,32.76,32.02,3930000.0
2010-10-06,31.93,32.51,32.74,31.76,2730000.0
2010-10-07,31.98,31.99,32.17,31.76,2040000.0
2010-10-08,31.99,32.03,32.15,31.62,2240000.0
2010-10-11,31.75,31.95,32.06,31.68,1010000.0
2010-10-12,32.1,31.65,32.16,31.4,2850000.0
2010-10-13,32.18,32.13,32.5,32.09,2540000.0
2010-10-14,32.03,31.91,32.27,31.86,1180000.0
2010-10-15,32.16,32.18,32.39,31.84,3140000.0
2010-10-18,32.08,32.12,32.18,31.95,1360000.0
2010-10-19,31.68,31.75,32.0,31.4,2320000.0
2010-10-20,32.17,31.79,32.37,31.67,1730000.0
2010-10-21,32.19,32.37,32.43,31.82,1850000.0
2010-10-22,32.86,32.24,32.93,32.05,3580000.0
2010-10-25,33.35,32.98,33.6,32.95,2520000.0
2010-10-26,33.26,33.25,33.44,33.09,2750000.0
2010-10-27,33.27,33.03,33.43,33.0,3930000.0
2010-10-28,33.45,33.48,33.99,33.03,4170000.0
2010-10-29,34.75,32.89,35.5,31.75,7950000.0
2010-11-01,34.43,34.56,34.77,33.83,4470000.0
2010-11-02,34.34,34.72,34.79,34.25,2330000.0
2010-11-03,34.52,34.28,34.64,34.09,3250000.0
2010-11-04,35.27,34.79,35.28,34.69,3120000.0
2010-11-05,35.15,34.92,35.34,34.78,2100000.0
2010-11-08,35.38,34.9,35.54,34.9,2540000.0
2010-11-09,35.08,35.37,35.63,34.92,2910000.0
2010-11-10,34.6,34.9,35.0,34.02,5200000.0
2010-11-11,34.58,34.39,34.66,34.13,2520000.0
2010-11-12,34.21,34.34,34.59,33.93,2300000.0
2010-11-15,34.06,34.36,34.62,34.02,2540000.0
2010-11-16,34.09,33.8,34.17,33.75,3320000.0
2010-11-17,34.39,33.99,34.48,33.85,3120000.0
2010-11-18,34.84,34.7,35.16,34.61,1590000.0
2010-11-19,34.85,34.77,34.98,34.43,1150000.0
2010-11-22,35.42,34.75,35.42,34.66,2410000.0
2010-11-23,34.52,35.1,35.1,34.36,1680000.0
2010-11-24,35.5,34.74,35.68,34.74,1850000.0
2010-11-26,35.29,35.21,35.4,35.04,624690.0
