Date,Close,Open,High,Low,Volume
2010-01-04,19.09,19.1,19.24,19.05,4280000.0
2010-01-05,19.01,19.15,19.15,18.77,3910000.0
2010-01-06,19.0,18.89,19.05,18.87,4210000.0
2010-01-07,19.61,18.92,19.73,18.85,8260000.0
2010-01-08,19.8,19.6,19.81,19.46,5670000.0
2010-01-11,19.97,19.96,19.99,19.74,5330000.0
2010-01-12,19.85,19.87,19.91,19.41,5090000.0
2010-01-13,20.13,19.92,20.26,19.89,5780000.0
2010-01-14,19.88,20.08,20.08,19.74,3250000.0
2010-01-15,19.53,19.94,19.94,19.49,4710000.0
2010-01-19,19.86,19.5,19.86,19.4,5510000.0
2010-01-20,19.5,19.71,19.71,19.35,5010000.0
2010-01-21,19.43,19.57,19.75,19.31,6600000.0
2010-01-22,18.8,19.4,19.47,18.66,8150000.0
2010-01-25,18.63,19.11,19.11,18.5,4600000.0
2010-01-26,18.31,18.46,18.62,18.24,6390000.0
2010-01-27,18.35,18.25,18.45,18.19,5930000.0
2010-01-28,18.25,18.46,18.51,18.15,5700000.0
2010-01-29,18.54,18.44,18.84,18.32,6720000.0
2010-02-01,18.58,18.66,18.7,18.39,6170000.0
2010-02-02,18.85,18.59,18.88,18.52,5610000.0
2010-02-03,17.17,17.07,18.21,16.7,50850000.0
2010-02-04,16.54,16.8,16.89,16.22,34290000.0
2010-02-05,16.5,16.43,16.54,15.85,16719999.999999998
2010-02-08,16.16,16.53,16.55,16.14,14790000.0
2010-02-09,16.14,16.35,16.51,15.93,19460000.0
2010-02-10,16.44,16.14,16.6,16.01,15730000.0
2010-02-11,16.16,16.3,16.41,16.1,15780000.0
2010-02-12,16.12,16.14,16.32,15.96,10300000.0
2010-02-16,16.5,16.36,16.6,16.12,9560000.0
2010-02-17,16.4,16.51,16.71,16.4,4640000.0
2010-02-18,16.46,16.4,16.52,16.39,4630000.0
2010-02-19,16.35,16.39,16.46,16.27,6960000.0
2010-02-22,16.18,16.38,16.4,16.12,8710000.0
2010-02-23,16.04,16.29,16.32,16.04,7570000.0
2010-02-24,16.0,16.13,16.17,15.96,7910000.0
2010-02-25,15.96,15.85,16.04,15.71,8670000.0
2010-02-26,15.78,16.01,16.02,15.72,7390000.0
2010-03-01,16.0,15.88,16.07,15.76,7730000.0
2010-03-02,15.84,16.28,16.29,15.81,8930000.0
2010-03-03,15.71,15.91,15.99,15.71,7150000.0
2010-03-04,16.02,15.77,16.1,15.68,9930000.0
2010-03-05,16.31,16.16,16.34,16.02,6850000.0
2010-03-08,16.22,16.34,16.37,16.18,5740000.0
2010-03-09,16.33,16.18,16.37,16.04,9020000.0
2010-03-10,16.51,16.35,16.54,16.15,9640000.0
2010-03-11,16.77,16.48,16.83,16.39,7830000.0
2010-03-12,16.91,16.86,16.92,16.69,5580000.0
2010-03-15,16.71,16.86,16.89,16.59,8710000.0
2010-03-16,16.24,16.44,16.81,16.17,15670000.0
2010-03-17,16.8,16.3,16.85,16.25,10030000.0
2010-03-18,16.8,16.84,16.86,16.65,6450000.0
2010-03-19,16.66,16.85,16.93,16.57,7980000.0
2010-03-22,16.91,16.58,16.96,16.58,6190000.0
2010-03-23,17.06,16.92,17.17,16.9,6870000.0
2010-03-24,16.88,17.02,17.04,16.8,5870000.0
2010-03-25,16.97,17.04,17.23,16.94,12780000.0
2010-03-26,17.05,17.08,17.08,16.92,5080000.0
2010-03-29,17.19,17.16,17.26,17.1,3780000.0
2010-03-30,17.0,17.25,17.27,16.91,5270000.0
2010-03-31,16.96,16.98,17.09,16.9,7400000.0
2010-04-01,17.06,17.1,17.4,16.94,6970000.0
2010-04-05,17.37,17.13,17.46,17.08,6680000.0
2010-04-06,17.5,17.35,17.65,17.35,7570000.0
2010-04-07,17.24,17.41,17.58,17.18,6620000.0
2010-04-08,17.41,17.21,17.51,17.12,6280000.0
2010-04-09,17.49,17.4,17.55,17.34,5380000.0
2010-04-12,17.47,17.51,17.76,17.43,5270000.0
2010-04-13,17.49,17.37,17.54,17.3,4560000.0
2010-04-14,17.64,17.58,17.73,17.44,5910000.0
2010-04-15,17.53,17.61,17.73,17.5,5580000.0
2010-04-16,17.24,17.48,17.58,17.15,5840000.0
2010-04-19,17.3,17.17,17.43,17.17,6910000.0
2010-04-20,17.4,17.4,17.46,17.27,5260000.0
2010-04-21,17.44,17.37,17.46,17.3,6090000.0
2010-04-22,17.45,17.25,17.5,17.23,8240000.0
2010-04-23,17.78,17.42,17.78,17.37,5100000.0
2010-04-26,17.91,17.87,18.23,17.81,14890000.0
2010-04-27,19.0,18.85,19.57,18.85,32840000.000000004
2010-04-28,18.62,19.02,19.09,18.36,15050000.0
2010-04-29,18.68,18.7,18.94,18.45,8550000.0
2010-04-30,18.25,18.67,18.79,18.21,11660000.0
2010-05-03,18.22,18.4,18.46,18.18,7610000.0
2010-05-04,17.78,18.03,18.03,17.61,11110000.0
2010-05-05,17.58,17.6,17.89,17.46,5460000.0
2010-05-06,17.22,17.46,17.65,16.3,15010000.0
2010-05-07,16.55,17.15,17.26,16.35,15320000.0
2010-05-10,17.24,17.24,17.38,17.09,11340000.0
2010-05-11,16.79,17.16,17.16,16.6,9180000.0
2010-05-12,17.06,16.84,17.13,16.75,7520000.0
2010-05-13,17.01,16.98,17.26,16.98,8500000.0
2010-05-14,16.64,16.94,17.01,16.53,11160000.0
2010-05-17,16.62,16.67,16.92,16.35,9020000.0
2010-05-18,16.19,16.79,16.9,16.15,9670000.0
2010-05-19,16.05,16.26,16.37,16.02,14240000.0
2010-05-20,15.47,15.74,15.95,15.38,11140000.0
2010-05-21,15.9,15.2,15.92,15.2,11210000.0
2010-05-24,15.58,15.8,15.89,15.58,5770000.0
2010-05-25,15.69,15.25,15.7,15.15,9240000.0
2010-05-26,15.66,15.74,16.07,15.6,10640000.0
2010-05-27,16.26,15.91,16.28,15.82,7300000.0
2010-05-28,15.96,16.27,16.32,15.9,5440000.0
2010-06-01,15.69,15.86,16.1,15.68,8410000.0
2010-06-02,15.76,15.8,15.86,15.66,8890000.0
2010-06-03,16.15,15.82,16.16,15.79,6870000.0
2010-06-04,15.63,15.76,16.0,15.59,10030000.0
2010-06-07,15.31,15.73,15.82,15.27,9290000.0
