Date,Close,Open,High,Low,Volume
2010-01-04,69.15,68.72,69.26,68.19,27810000.0
2010-01-05,69.42,69.19,69.45,68.8,30180000.0
2010-01-06,70.02,69.45,70.6,69.34,35050000.0
2010-01-07,69.8,69.9,70.06,69.42,27190000.0
2010-01-08,69.52,69.69,69.75,69.22,24900000.0
2010-01-11,70.3,69.94,70.52,69.65,30680000.0
2010-01-12,69.95,69.72,69.99,69.52,31500000.0
2010-01-13,69.67,69.96,70.04,69.26,24880000.0
2010-01-14,69.68,69.54,69.74,69.35,18640000.0
2010-01-15,69.11,69.65,69.69,68.65,29410000.0
2010-01-19,69.27,68.74,69.35,68.42,26090000.0
2010-01-20,68.03,68.56,68.66,67.93,34630000.0
2010-01-21,66.7,68.12,68.15,66.5,39120000.0
2010-01-22,66.1,66.52,67.14,66.0,39090000.0
2010-01-25,65.85,66.55,66.76,65.69,29310000.0
2010-01-26,65.92,65.64,66.74,65.5,34080000.0
2010-01-27,65.54,65.66,66.06,65.0,35730000.0
2010-01-28,64.96,65.85,65.85,64.57,37360000.0
2010-01-29,64.43,65.15,65.82,64.02,40880000.0
2010-02-01,66.18,65.77,66.41,65.35,37700000.0
2010-02-02,66.96,66.73,67.12,66.47,34060000.0
2010-02-03,66.6,66.88,67.23,66.56,24020000.0
2010-02-04,64.72,66.27,66.35,64.68,33870000.0
2010-02-05,64.8,64.7,64.9,63.56,42300000.0
2010-02-08,64.35,64.91,65.49,64.34,30520000.0
2010-02-09,65.2,65.11,65.71,64.56,36250000.0
2010-02-10,64.85,65.08,65.22,64.16,21700000.0
2010-02-11,65.24,64.69,65.48,64.41,23560000.0
2010-02-12,64.8,64.62,65.14,64.28,30640000.0
2010-02-16,66.28,65.44,66.38,65.08,30520000.0
2010-02-17,65.76,66.34,66.45,65.57,21820000.0
2010-02-18,65.96,65.8,66.09,65.35,22540000.0
2010-02-19,65.87,65.59,66.24,65.43,24270000.0
2010-02-22,65.4,66.1,66.12,65.25,20470000.0
2010-02-23,64.94,65.26,65.56,64.15,33380000.000000004
2010-02-24,65.55,65.01,65.87,64.77,21470000.0
2010-02-25,65.14,64.61,65.17,64.37,25670000.0
2010-02-26,65.0,65.26,65.4,64.92,20130000.0
2010-03-01,65.4,65.36,65.54,65.09,18800000.0
2010-03-02,65.49,65.66,65.79,65.15,24830000.0
2010-03-03,65.43,65.77,65.97,65.38,22290000.0
2010-03-04,65.4,65.35,65.63,65.08,21960000.0
2010-03-05,66.47,65.96,66.52,65.78,26840000.0
2010-03-08,66.48,66.77,66.79,66.23,20300000.0
2010-03-09,66.78,66.32,67.19,66.22,29000000.0
2010-03-10,67.22,67.16,67.42,66.78,24810000.0
2010-03-11,67.22,67.39,67.56,66.98,19370000.0
2010-03-12,66.8,67.58,67.58,66.5,23360000.0
2010-03-15,66.3,66.67,66.69,65.9,22070000.0
